tempo [s];Z [m];w [m/s];arquivo_origem
9.933;0.372083;-0.006758418;x0.0.csv
9.966;0.373115;0.007627104;x0.0.csv
9.999;0.3735;-0.001446128;x0.0.csv
10.032;0.372065;0.011323232;x0.0.csv
10.065;0.374882;0.006274411;x0.0.csv
10.098;0.372765;-0.005213805;x0.0.csv
10.131;0.374147;-0.00731734;x0.0.csv
10.164;0.372328;-0.010781987;x0.0.csv
10.197;0.373132;-0.003419192;x0.0.csv
10.23;0.372555;-0.007698653;x0.0.csv
10.263;0.371838;0.008628788;x0.0.csv
10.296;0.373587;0.009866162;x0.0.csv
10.329;0.37287;0.002241582;x0.0.csv
10.362;0.374077;-0.012494949;x0.0.csv
10.395;0.370999;-0.001574916;x0.0.csv
10.428;0.373325;0.025921717;x0.0.csv
10.461;0.374619;0.004662458;x0.0.csv
10.494;0.373237;-0.007506734;x0.0.csv
10.527;0.373605;-0.008214646;x0.0.csv
10.56;0.37259;-0.002992424;x0.0.csv
10.593;0.373412;0.003401515;x0.0.csv
10.626;0.37301;0.003666667;x0.0.csv
10.659;0.373482;0.005875421;x0.0.csv
10.692;0.373867;-0.00512037;x0.0.csv
10.725;0.3735;-0.021350168;x0.0.csv
10.758;0.371593;-0.015139731;x0.0.csv
10.791;0.371418;0.018992424;x0.0.csv
10.824;0.374304;0.016436869;x0.0.csv
10.857;0.372923;0.000709596;x0.0.csv
10.89;0.373762;-0.002696128;x0.0.csv
10.923;0.372975;-0.009877104;x0.0.csv
10.956;0.372643;-0.003342593;x0.0.csv
10.989;0.37273;0.003371212;x0.0.csv
11.022;0.37322;0.002344276;x0.0.csv
11.055;0.372783;0.001000842;x0.0.csv
11.088;0.37315;0.002131313;x0.0.csv
11.121;0.373762;-0.014414141;x0.0.csv
11.154;0.371366;-0.010643939;x0.0.csv
11.187;0.372013;0.019891414;x0.0.csv
11.22;0.374462;0.006845118;x0.0.csv
11.253;0.371943;0.004310606;x0.0.csv
11.286;0.374374;0.008630471;x0.0.csv
11.319;0.3735;-0.010345118;x0.0.csv
11.352;0.372818;-0.005389731;x0.0.csv
11.385;0.373185;0.000406566;x0.0.csv
11.418;0.37245;0.014779461;x0.0.csv
11.451;0.374147;0.025159933;x0.0.csv
11.484;0.376228;-0.018906566;x0.0.csv
11.517;0.37217;-0.042543771;x0.0.csv
11.55;0.371751;-0.020827441;x0.0.csv
11.583;0.370614;0.008065657;x0.0.csv
11.616;0.3728;0.023818182;x0.0.csv
11.649;0.373692;-0.001914141;x0.0.csv
11.682;0.371803;-0.006842593;x0.0.csv
11.715;0.372608;0.003977273;x0.0.csv
11.748;0.372468;0.005281145;x0.0.csv
11.781;0.373237;-0.000752525;x0.0.csv
11.814;0.372905;-0.016911616;x0.0.csv
11.847;0.370999;-0.003960438;x0.0.csv
11.88;0.371803;0.029810606;x0.0.csv
11.913;0.374654;0.019892256;x0.0.csv
11.946;0.37343;-0.000867845;x0.0.csv
11.979;0.374182;-0.010722222;x0.0.csv
12.012;0.372345;-0.007569024;x0.0.csv
12.045;0.37259;0.022650673;x0.0.csv
12.078;0.375022;0.020306397;x0.0.csv
12.111;0.375214;-0.013578283;x0.0.csv
12.144;0.37315;-0.023414983;x0.0.csv
12.177;0.372275;0.002368687;x0.0.csv
12.21;0.374007;0.011765152;x0.0.csv
12.243;0.374269;-0.009196128;x0.0.csv
12.276;0.372958;-0.02088468;x0.0.csv
12.309;0.371821;-0.004872054;x0.0.csv
12.342;0.373028;0.005723906;x0.0.csv
12.375;0.372433;0.010327441;x0.0.csv
12.408;0.373097;0.027574916;x0.0.csv
12.441;0.375144;0.021030303;x0.0.csv
12.474;0.374637;0.009969697;x0.0.csv
12.507;0.375354;0.006712121;x0.0.csv
12.54;0.375389;-0.000829966;x0.0.csv
12.573;0.375511;-0.013434343;x0.0.csv
